,EPI,FSI,country,fragile
444,87.69,23.0,Norway2014,0.04456309685149357
445,60.21,53.1,Oman2014,0.1554328412548222
446,52.75,103.0,Pakistan2014,1.0154963035434013
447,79.18,55.7,Panama2014,0.14314515021938565
448,47.65,84.1,Papua New Guinea2014,0.8211769121334144
449,70.02,71.6,Paraguay2014,0.2948708499188979
450,72.67,72.9,Peru2014,0.3351031009842253
451,73.69,85.3,Philippines2014,0.6089534459620356
452,78.92,42.1,Poland2014,0.09335433516714069
453,88.86,33.1,Portugal2014,0.046347664711018456
454,68.97,48.9,Qatar2014,0.1492882290697204
455,80.61,56.9,Romania2014,0.16638046797459863
456,82.57,76.5,Russia2014,0.4717573086612807
457,50.88,90.5,Rwanda2014,0.9643369668951755
458,69.63,69.3,Samoa2014,0.23554211730281083
459,48.32,75.8,Sao Tome and Principe2014,0.6836094637598144
460,70.12,73.1,Saudi Arabia2014,0.3986237522667384
461,64.41,82.8,Senegal2014,0.6131175358470254
462,75.63,72.0,Serbia2014,0.34172918113551337
463,66.78,63.7,Seychelles2014,0.20016835168239305
464,45.2,89.9,Sierra Leone2014,0.8708702208027206
465,87.67,35.9,Singapore2014,0.08830647502101148
466,86.53,32.6,Slovenia2014,0.058678703147315305
467,46.53,86.4,Solomon Islands2014,0.868752832028697
468,27.54,112.6,Somalia2014,0.9825780333154002
469,69.54,66.6,South Africa2014,0.24151842297880655
470,71.25,36.4,South Korea2014,0.06599698377640588
471,88.63,43.1,Spain2014,0.1021581769276904
472,66.09,92.6,Sri Lanka2014,0.7721495601217838
473,42.03,110.1,Sudan2014,0.9944736680912081
474,70.13,70.6,Suriname2014,0.2741884926222528
475,60.7,85.8,Swaziland2014,0.7795374760854369
476,89.46,21.4,Sweden2014,0.03667459365148895
477,86.72,23.3,Switzerland2014,0.04338497585882011
478,63.32,101.6,Syria2014,1.0516391040587618
479,72.59,84.6,Tajikistan2014,0.5899333699606442
480,57.45,80.8,Tanzania2014,0.5780217105580266
481,69.41,77.0,Thailand2014,0.446809014292715
482,56.02,91.0,Timor-Leste2014,1.1487732775278148
483,45.56,87.8,Togo2014,0.8884650664519831
484,76.36,61.3,Trinidad and Tobago2014,0.20803163371466377
485,77.39,77.5,Tunisia2014,0.4269334264117033
486,65.71,74.1,Turkey2014,0.3789335479523047
487,71.35,78.2,Turkmenistan2014,0.4358456621732411
488,57.5,96.0,Uganda2014,1.2436671714999559
489,78.46,67.2,Ukraine2014,0.28278098342403035
490,70.67,47.6,United Arab Emirates2014,0.13461604324341267
491,88.97,34.3,United Kingdom2014,0.0710945187038094
492,74.24,37.9,Uruguay2014,0.06113293683132761
493,64.77,86.3,Uzbekistan2014,0.6203272084664653
494,77.57,76.7,Venezuela2014,0.4084074982369525
495,47.52,105.4,Yemen2014,0.9870939817417889
496,65.41,86.2,Zambia2014,0.817058100535567
497,37.98,106.7,Afghanistan2013,0.9826668650034767
498,69.85,65.2,Albania2013,0.2365726235197909
499,71.26,78.7,Algeria2013,0.464475777050829
500,48.8,87.1,Angola2013,0.9733307457388939
501,66.02,58.0,Antigua and Barbuda2013,0.16739729949644877
502,79.52,46.1,Argentina2013,0.09384402169908584
503,77.93,71.3,Armenia2013,0.34618542639991007
504,87.55,25.4,Australia2013,0.04747866825483987
505,84.7,26.9,Austria2013,0.056243774440819676
506,81.83,78.2,Azerbaijan2013,0.4504333274700443
507,68.52,62.9,Bahrain2013,0.2850801248647782
508,42.03,92.5,Bangladesh2013,0.954532214972838
509,54.48,50.8,Barbados2013,0.6292719863612385
510,79.77,76.7,Belarus2013,0.37574960086978804
511,78.5,30.9,Belgium2013,0.05602872775151499
512,74.8,67.2,Belize2013,0.2222146743377729
513,40.7,77.9,Benin2013,0.7985907845302533
514,63.1,81.8,Bhutan2013,0.5061220362066322
515,70.4,80.8,Bolivia2013,0.44082733342773867
516,59.79,76.5,Bosnia and Herzegovina2013,0.41077327901161104
517,69.54,64.0,Botswana2013,0.1904548322677475
518,79.28,62.1,Brazil2013,0.19392114956148873
519,65.56,63.2,Brunei Darussalam2013,0.3035996033950729
520,80.34,55.0,Bulgaria2013,0.13888330622055728
521,42.08,90.2,Burkina Faso2013,0.8972750435282837
522,40.7,97.6,Burundi2013,0.9655429270806214
