Rank,Country,EPI.2017,EPI.2016,EPI.2015,EPI.2014,EPI.2013,EPI.2012,EPI.2011,EPI.2010,EPI.2009,EPI.2008,EPI.2007
132,Tanzania,54.01,58.34,57.93,57.45,55.33,55.81,56.02,56.09,53.56,53.61,53.46
91,Thailand,72.84,69.54,68.7,69.41,69.42,69.79,69.05,69.47,69.07,69.07,69.78
93,The Bahamas,47.85,69.34,70.51,70.61,70.28,70.94,71.03,71.38,71,70.91,70.66
142,The Gambia,50.83,52.09,52.53,52.6,50.6,51.42,51.4,51.43,51.26,51.56,51.48
138,Timor-Leste,49.88,55.79,55.92,56.02,53.62,53.73,53.65,53.45,45.23,44.7,44.83
161,Togo,49.54,46.1,45.86,45.56,43.26,43.66,43.55,43.77,40.64,40.76,40.96
102,Tonga,41.78,66.86,72.62,72.69,71.95,72.14,71.59,69.39,71.69,71.81,71.81
62,Trinidad and Tobago,62.49,74.34,76.4,76.36,75.84,76.39,76.37,76.47,76.99,77.3,77.25
53,Tunisia,67.36,77.28,76.83,77.39,75.72,76.36,76.21,76.51,76.26,73.81,72.86
99,Turkey,62.35,67.68,66.25,65.71,64.49,65.64,65.29,65.03,60.08,59.74,60.35
84,Turkmenistan,52.96,70.24,71.42,71.35,71.02,71.16,70.91,71.1,70.76,71.15,70.74
135,Uganda,66.1,57.56,57.36,57.5,55.77,55.88,55.57,55.51,55.12,55.16,54.66
44,Ukraine,44.28,79.69,79.01,78.46,76.74,77.27,77.2,77.06,75.13,75.34,75.62
92,United Arab Emirates,52.87,69.35,70.89,70.67,69.75,70.52,70.52,70.99,70.22,70.48,71.48
12,United Kingdom,58.9,87.38,89.33,88.97,88.54,88.44,87.78,87.79,86.31,86.71,85.68
26,United States of America,79.89,84.72,84.53,84.52,83.72,83.91,83.42,83.31,82.06,82.03,81.47
65,Uruguay,71.19,73.98,73.64,74.24,74.12,74.33,73.88,73.49,73.52,73.55,73.51
118,Uzbekistan,64.65,63.67,64.88,64.77,64.19,66,65.85,66.2,65.43,66.74,66.38
134,Vanuatu,45.88,57.74,57.86,57.81,56.55,56.7,56.59,56.54,55.92,55.78,55.69
56,Venezuela,44.55,76.23,77.64,77.57,77.29,77.75,77.69,77.63,73.06,72.87,72.66
131,Viet Nam,63.89,58.5,57.97,56.81,55.29,55.49,54.97,55.18,53.75,53.8,54.33
150,Yemen,46.96,49.79,48.31,47.52,47.46,48.09,47.87,47.58,46.77,47.16,47.06
106,Zambia,50.97,66.06,66.05,65.41,63.38,63.4,62.95,63.01,60.7,61.45,62.12
129,Zimbabwe,43.41,59.25,59.46,59.5,58.52,58.82,59,58.96,58.99,58.53,58.83
