,EPI,country
523,49.59,Cambodia2013
524,54.49,Cameroon2013
525,84.56,Canada2013
526,50.65,Cape Verde2013
527,44.43,Central African Republic2013
528,35.89,Chad2013
529,78.33,Chile2013
530,65.21,China2013
531,77.14,Colombia2013
532,46.11,Comoros2013
533,80.4,Costa Rica2013
534,58.37,Cote d'Ivoire2013
535,81.72,Croatia2013
536,77.55,Cuba2013
537,79.04,Cyprus2013
538,83.8,Czech Republic2013
539,87.57,Denmark2013
540,38.85,Djibouti2013
541,75.65,Dominican Republic2013
542,68.39,Ecuador2013
543,65.69,Egypt2013
544,70.15,El Salvador2013
545,69.38,Equatorial Guinea2013
546,33.26,Eritrea2013
547,87.9,Estonia2013
548,42.08,Ethiopia2013
549,73.85,Fiji2013
550,90.59,Finland2013
551,86.7,France2013
552,66.93,Gabon2013
553,61.43,Georgia2013
554,83.1,Germany2013
555,56.62,Ghana2013
556,83.34,Greece2013
557,60.84,Grenada2013
558,68.8,Guatemala2013
559,52.8,Guinea2013
560,70.24,Guyana2013
561,41.08,Haiti2013
562,68.05,Honduras2013
563,80.52,Hungary2013
564,90.06,Iceland2013
565,53.74,India2013
566,64.45,Indonesia2013
567,63.85,Iran2013
568,60.26,Iraq2013
569,87.83,Ireland2013
570,83.46,Italy2013
571,77.01,Jamaica2013
572,80.6,Japan2013
573,69.57,Jordan2013
574,71.69,Kazakhstan2013
575,60.64,Kenya2013
576,62.85,Kuwait2013
577,72.24,Kyrgyz Republic2013
578,48.35,Laos2013
579,85.1,Latvia2013
580,67.78,Lebanon2013
581,43.23,Lesotho2013
582,42.0,Liberia2013
583,61.35,Libya2013
584,82.9,Lithuania2013
585,86.12,Luxembourg2013
586,73.52,Macedonia2013
587,35.13,Madagascar2013
588,45.98,Malawi2013
589,77.48,Malaysia2013
590,57.08,Maldives2013
591,38.92,Mali2013
592,87.52,Malta2013
593,43.74,Mauritania2013
594,71.17,Mauritius2013
595,73.28,Mexico2013
596,74.22,Moldova2013
597,65.36,Mongolia2013
598,75.57,Montenegro2013
599,71.01,Morocco2013
600,39.03,Mozambique2013
601,48.28,Myanmar2013
602,69.09,Namibia2013
603,48.97,Nepal2013
604,80.41,Netherlands2013
605,89.85,New Zealand2013
606,63.33,Nicaragua2013
607,35.2,Niger2013
608,55.07,Nigeria2013
609,87.46,Norway2013
610,59.22,Oman2013
611,51.02,Pakistan2013
612,77.9,Panama2013
613,45.73,Papua New Guinea2013
614,68.92,Paraguay2013
615,71.81,Peru2013
616,72.16,Philippines2013
617,77.96,Poland2013
618,88.46,Portugal2013
619,69.02,Qatar2013
620,79.24,Romania2013
621,81.73,Russia2013
622,49.71,Rwanda2013
623,68.18,Samoa2013
624,45.63,Sao Tome and Principe2013
625,69.25,Saudi Arabia2013
626,63.72,Senegal2013
627,73.38,Serbia2013
628,67.22,Seychelles2013
629,42.92,Sierra Leone2013
630,89.69,Singapore2013
631,84.59,Slovenia2013
632,44.12,Solomon Islands2013
633,25.65,Somalia2013
634,67.82,South Africa2013
635,70.71,South Korea2013
636,87.4,Spain2013
637,64.8,Sri Lanka2013
638,41.1,Sudan2013
639,69.84,Suriname2013
640,59.51,Swaziland2013
641,88.86,Sweden2013
642,87.39,Switzerland2013
643,62.34,Syria2013
644,71.7,Tajikistan2013
645,55.33,Tanzania2013
646,69.42,Thailand2013
647,53.62,Timor-Leste2013
648,43.26,Togo2013
649,75.84,Trinidad and Tobago2013
650,75.72,Tunisia2013
651,64.49,Turkey2013
652,71.02,Turkmenistan2013
653,55.77,Uganda2013
654,76.74,Ukraine2013
655,69.75,United Arab Emirates2013
656,88.54,United Kingdom2013
657,74.12,Uruguay2013
658,64.19,Uzbekistan2013
659,77.29,Venezuela2013
660,47.46,Yemen2013
661,63.38,Zambia2013
662,58.52,Zimbabwe2013
663,37.95,Afghanistan2012
664,70.01,Albania2012
665,71.5,Algeria2012
666,49.25,Angola2012
667,66.33,Antigua and Barbuda2012
668,79.58,Argentina2012
669,79.45,Armenia2012
670,87.84,Australia2012
671,85.7,Austria2012
672,82.15,Azerbaijan2012
673,68.38,Bahrain2012
674,42.26,Bangladesh2012
675,53.91,Barbados2012
676,79.68,Belarus2012
677,78.89,Belgium2012
678,73.92,Belize2012
679,41.53,Benin2012
680,61.84,Bhutan2012
681,70.72,Bolivia2012
682,60.67,Bosnia and Herzegovina2012
683,69.74,Botswana2012
684,79.29,Brazil2012
685,65.77,Brunei Darussalam2012
686,80.94,Bulgaria2012
687,42.46,Burkina Faso2012
688,41.61,Burundi2012
689,50.16,Cambodia2012
690,54.77,Cameroon2012
691,84.61,Canada2012
692,51.37,Cape Verde2012
693,44.48,Central African Republic2012
694,36.72,Chad2012
695,79.23,Chile2012
696,65.44,China2012
697,77.11,Colombia2012
698,46.44,Comoros2012
699,80.85,Costa Rica2012
700,58.46,Cote d'Ivoire2012
701,83.31,Croatia2012
702,78.17,Cuba2012
703,79.65,Cyprus2012
704,84.37,Czech Republic2012
705,88.92,Denmark2012
706,39.27,Djibouti2012
707,75.79,Dominican Republic2012
708,68.37,Ecuador2012
709,66.65,Egypt2012
710,69.71,El Salvador2012
711,69.34,Equatorial Guinea2012
712,34.78,Eritrea2012
713,88.16,Estonia2012
714,41.81,Ethiopia2012
715,74.26,Fiji2012
716,90.73,Finland2012
717,87.0,France2012
718,67.0,Gabon2012
719,62.27,Georgia2012
720,84.7,Germany2012
721,56.97,Ghana2012
722,83.88,Greece2012
723,60.81,Grenada2012
724,68.87,Guatemala2012
725,52.77,Guinea2012
726,69.77,Guyana2012
727,41.26,Haiti2012
728,68.23,Honduras2012
729,81.55,Hungary2012
730,89.57,Iceland2012
731,53.98,India2012
732,64.42,Indonesia2012
733,64.22,Iran2012
734,60.7,Iraq2012
735,87.89,Ireland2012
736,83.99,Italy2012
737,76.88,Jamaica2012
738,80.68,Japan2012
739,69.34,Jordan2012
740,72.17,Kazakhstan2012
741,60.72,Kenya2012
742,58.14,Kuwait2012
743,72.41,Kyrgyz Republic2012
744,48.48,Laos2012
745,85.39,Latvia2012
746,68.59,Lebanon2012
747,43.65,Lesotho2012
748,42.13,Liberia2012
749,61.75,Libya2012
750,83.06,Lithuania2012
751,87.9,Luxembourg2012
752,76.03,Macedonia2012
753,34.85,Madagascar2012
754,45.7,Malawi2012
755,78.12,Malaysia2012
756,56.57,Maldives2012
757,38.94,Mali2012
758,87.21,Malta2012
759,43.95,Mauritania2012
760,71.71,Mauritius2012
761,73.09,Mexico2012
762,75.16,Moldova2012
763,63.87,Mongolia2012
764,76.72,Montenegro2012
765,70.97,Morocco2012
766,39.15,Mozambique2012
767,49.15,Myanmar2012
768,69.81,Namibia2012
769,48.95,Nepal2012
770,80.82,Netherlands2012
771,90.11,New Zealand2012
772,63.54,Nicaragua2012
773,35.05,Niger2012
774,55.29,Nigeria2012
775,87.28,Norway2012
776,58.72,Oman2012
777,51.3,Pakistan2012
778,77.75,Panama2012
779,45.64,Papua New Guinea2012
780,69.1,Paraguay2012
781,71.9,Peru2012
782,72.34,Philippines2012
783,79.14,Poland2012
784,88.03,Portugal2012
785,69.0,Qatar2012
786,79.31,Romania2012
787,82.15,Russia2012
788,50.16,Rwanda2012
789,68.33,Samoa2012
790,45.51,Sao Tome and Principe2012
791,69.45,Saudi Arabia2012
792,64.32,Senegal2012
793,75.06,Serbia2012
794,67.57,Seychelles2012
795,42.6,Sierra Leone2012
796,90.0,Singapore2012
797,86.16,Slovenia2012
798,44.24,Solomon Islands2012
799,26.05,Somalia2012
800,68.03,South Africa2012
801,70.9,South Korea2012
802,87.81,Spain2012
803,64.78,Sri Lanka2012
804,41.43,Sudan2012
805,70.62,Suriname2012
806,59.72,Swaziland2012
807,89.36,Sweden2012
808,87.78,Switzerland2012
809,63.2,Syria2012
810,71.85,Tajikistan2012
811,55.81,Tanzania2012
812,69.79,Thailand2012
813,53.73,Timor-Leste2012
814,43.66,Togo2012
815,76.39,Trinidad and Tobago2012
816,76.36,Tunisia2012
817,65.64,Turkey2012
818,71.16,Turkmenistan2012
819,55.88,Uganda2012
820,77.27,Ukraine2012
821,70.52,United Arab Emirates2012
822,88.44,United Kingdom2012
823,74.33,Uruguay2012
824,66.0,Uzbekistan2012
825,77.75,Venezuela2012
826,48.09,Yemen2012
827,63.4,Zambia2012
828,58.82,Zimbabwe2012
829,37.33,Afghanistan2011
830,69.42,Albania2011
831,71.35,Algeria2011
832,49.06,Angola2011
833,66.4,Antigua and Barbuda2011
834,79.61,Argentina2011
835,77.97,Armenia2011
836,87.7,Australia2011
837,84.99,Austria2011
838,81.87,Azerbaijan2011
839,68.27,Bahrain2011
840,42.05,Bangladesh2011
841,54.05,Barbados2011
842,80.74,Belarus2011
843,78.64,Belgium2011
844,73.49,Belize2011
845,41.32,Benin2011
846,61.58,Bhutan2011
847,70.58,Bolivia2011
848,61.32,Bosnia and Herzegovina2011
849,69.67,Botswana2011
850,79.05,Brazil2011
851,65.04,Brunei Darussalam2011
852,80.62,Bulgaria2011
853,42.38,Burkina Faso2011
854,41.59,Burundi2011
