,C1,C2,C3,E1,E2,E3,FSI,P1,P2,P3,S1,S2,X1,country
208,1.5,1.4,3.6,2.5,2.1,1.9,21.4,0.5,1.4,1.3,2.5,1.4,1.4,Denmark2015
209,6.9,7.3,6.6,7.4,7.8,5.8,88.0,7.6,7.8,7.2,8.2,7.1,8.4,Djibouti2015
210,5.2,6.2,5.8,5.3,6.3,7.6,71.2,6.0,6.8,5.5,6.8,3.8,5.9,Dominican Republic2015
211,6.7,8.2,7.8,5.3,6.8,6.2,75.9,7.0,6.3,5.1,5.7,5.2,5.6,Ecuador2015
212,8.2,9.0,8.7,8.1,6.5,4.7,89.9,8.7,5.4,9.8,7.1,6.7,7.1,Egypt2015
213,6.5,4.3,6.3,5.9,6.6,6.9,71.4,4.8,6.7,6.1,6.9,5.1,5.3,El Salvador2015
214,7.0,8.2,6.3,5.2,9.0,6.0,84.8,9.8,7.1,9.7,7.7,3.3,5.5,Equatorial Guinea2015
215,7.7,8.1,6.1,8.3,7.2,7.6,96.9,9.1,8.7,9.3,8.8,7.8,8.2,Eritrea2015
216,3.1,5.5,6.5,3.6,3.7,3.5,43.7,3.2,3.4,2.0,3.3,2.9,3.1,Estonia2015
217,8.4,8.6,8.5,6.9,7.1,7.0,97.5,7.4,8.6,8.5,9.2,9.4,7.9,Ethiopia2015
218,6.7,7.9,7.0,6.7,6.8,7.6,76.7,7.4,4.5,6.9,4.7,3.4,7.2,Fiji2015
219,1.4,1.1,1.6,3.8,1.0,2.3,17.7,0.5,1.2,0.9,1.5,1.5,1.0,Finland2015
220,2.3,1.9,6.8,4.8,3.7,2.2,33.7,1.8,1.5,2.3,2.8,2.2,1.4,France2015
221,5.0,7.1,3.7,4.8,6.9,5.5,71.2,7.4,6.8,6.9,7.1,5.0,5.1,Gabon2015
222,7.3,9.1,7.8,5.8,5.9,5.4,79.2,8.8,4.8,5.8,3.9,7.4,7.3,Georgia2015
223,2.1,2.0,4.6,2.9,3.3,2.1,28.1,1.2,1.6,1.5,2.5,3.0,1.3,Germany2015
224,4.1,4.9,4.6,6.3,7.1,7.6,71.8,5.0,7.9,5.2,7.1,5.5,6.6,Ghana2015
225,4.5,3.7,5.0,6.5,4.2,3.8,52.6,6.5,3.9,3.4,3.6,1.6,5.9,Greece2015
226,5.6,5.6,3.8,5.9,5.3,8.4,63.5,5.9,3.7,3.7,5.2,3.2,7.1,Grenada2015
227,7.0,6.0,7.9,6.0,8.0,6.7,80.4,6.6,7.4,6.6,7.3,5.5,5.4,Guatemala2015
228,8.9,9.6,8.7,9.2,7.6,7.2,104.9,9.9,9.8,8.2,9.0,8.7,8.1,Guinea2015
229,5.8,5.1,6.5,6.2,6.2,9.1,70.5,5.9,6.1,3.9,5.6,3.6,6.5,Guyana2015
230,7.5,9.1,6.7,9.1,9.3,9.3,104.5,9.4,9.1,7.4,9.5,8.2,9.9,Haiti2015
231,6.7,6.6,6.4,6.3,7.7,6.9,78.1,6.7,6.7,6.3,6.8,3.7,7.4,Honduras2015
232,2.4,5.3,4.7,5.9,4.3,3.3,49.1,6.6,3.3,4.5,2.3,2.5,4.0,Hungary2015
233,1.0,1.8,1.3,3.6,1.6,2.8,23.4,0.9,1.7,1.1,1.6,1.4,4.6,Iceland2015
234,7.9,7.3,8.3,5.6,7.5,5.5,79.3,5.2,7.5,5.9,8.0,5.4,5.3,India2015
235,6.2,7.0,7.3,5.2,6.3,6.3,75.0,5.6,6.0,6.8,7.1,5.9,5.3,Indonesia2015
236,8.0,9.4,8.5,6.9,6.1,6.2,87.1,8.9,5.0,9.3,5.4,6.5,7.0,Iran2015
237,10.0,9.6,10.0,6.9,7.8,8.1,104.4,9.2,7.5,8.9,8.2,8.9,9.4,Iraq2015
238,1.8,1.3,1.9,4.1,2.7,2.8,24.6,1.5,1.9,1.2,2.2,1.4,1.9,Ireland2015
239,4.4,4.9,4.9,5.6,3.4,2.0,43.2,4.2,2.3,2.5,3.1,3.7,2.2,Italy2015
240,6.3,3.7,3.9,7.1,5.9,7.8,64.6,5.3,5.8,4.9,5.2,3.0,5.7,Jamaica2015
241,1.4,2.6,4.2,4.6,1.9,2.6,36.0,1.7,2.1,3.4,4.8,3.1,3.6,Japan2015
242,5.5,6.9,7.7,6.3,5.9,3.6,76.9,6.1,4.7,7.6,7.0,8.8,6.8,Jordan2015
243,5.7,7.6,7.0,6.5,4.7,3.6,68.3,8.0,4.5,7.5,5.0,3.5,4.7,Kazakhstan2015
244,8.4,8.9,9.0,7.5,8.3,7.5,97.3,8.1,7.9,6.5,9.0,8.3,8.0,Kenya2015
245,3.9,7.5,4.7,3.0,4.7,3.1,57.5,7.3,2.5,7.3,5.1,4.0,4.4,Kuwait2015
