,DP,EI,EPI,Economy,FE,FSI,GDP,GDPpc,GG,HFBD,HR,LandArea,PS,Pop,PopDensity,PopGrowthRate,RI,SA,SDGI,SL,country
42,7.1,7.9,61.21,8.2,8.8,89.8,987.436,10319.25605,8.8,4.7,9.8,995450.0,4.9,95.688681,96.12605455,2.016789456,7.3,8.1,64.9,8.2,Egypt
43,6.9,5.9,53.91,5.4,4.3,73.1,50.69431137,7989.997256,6.7,7.9,6.3,20720.0,6.4,6.344722,306.2124517,0.509497673,4.8,7.3,62.9,4.8,El Salvador
44,2.8,4.3,64.31,3.5,5.9,44.7,36.98661617,28095.06265,7.3,4.0,1.7,42390.0,2.9,1.316481,31.05640481,0.08161442,3.1,3.3,78.6,2.7,Estonia
45,9.8,8.7,44.78,7.0,8.7,101.1,164.694,1608.289648,9.1,7.6,9.0,1000000.0,8.8,102.403196,102.403196,2.501821378,9.3,8.4,53.5,8.2,Ethiopia
46,1.1,1.0,78.64,3.5,1.1,18.7,217.183,39523.05838,1.8,2.3,1.0,303890.0,1.0,5.495096,18.0825167,0.283654477,2.3,1.7,84.0,0.9,Finland
47,2.8,1.8,83.95,4.3,1.9,33.5,2545.99,38058.86528,7.0,2.2,2.1,547557.0,1.1,66.896109,122.1719547,0.407491036,2.5,3.3,80.3,1.3,France
48,6.7,5.7,45.05,5.5,7.4,73.8,33.23268922,16786.00072,3.8,6.1,7.5,257670.0,6.7,1.979786,7.683416773,2.537808568,4.5,5.2,65.1,8.2,Gabon
49,8.3,7.0,42.42,8.4,7.8,89.4,3.169632857,1554.884132,3.8,8.3,9.4,10120.0,7.8,2.038501,201.4329051,3.03358022,6.8,6.3,47.8,8.6,Gambia
50,3.7,7.4,55.69,5.5,9.1,76.5,34.50307669,9276.766243,7.9,4.9,5.6,69490.0,4.3,3.7193,64.96028552,0.059168417,7.5,6.8,68.6,8.3,Georgia
51,2.0,1.0,78.37,2.2,2.3,28.1,3658.9,44260.34187,5.0,2.1,1.1,348900.0,1.1,82.667685,236.9380482,1.193866758,5.4,2.1,81.7,1.0,Germany
52,6.6,6.7,49.66,6.1,5.2,69.7,112.268,3980.185153,4.4,8.2,5.1,227540.0,7.8,28.206728,123.9638217,2.236737965,5.0,3.8,59.9,4.2,Ghana
53,3.7,6.1,73.6,6.5,4.1,57.5,260.905,24277.59488,5.4,3.3,3.2,128900.0,3.8,10.74674,83.37269201,-0.687542545,6.5,4.5,72.9,6.7,Greece
54,7.0,5.2,52.33,5.5,7.1,83.1,122.159,7366.755819,8.5,7.3,7.2,107160.0,7.5,16.582469,154.7449515,2.010367845,5.6,7.6,58.3,6.5,Guatemala
55,8.7,7.4,46.62,9.2,9.6,102.4,22.60196905,1823.338788,8.6,7.4,7.7,245720.0,9.5,12.395924,50.44735471,2.48622533,8.2,8.8,48.8,9.6,Guinea
56,5.8,7.3,47.93,6.0,5.1,71.3,5.619078875,7266.335285,6.7,9.4,3.5,196850.0,6.2,0.773303,3.928387097,0.621217097,3.8,6.4,64.7,5.4,Guyana
57,9.5,10.0,33.74,8.7,9.6,105.3,17.94107659,1653.961848,6.5,8.8,7.6,27560.0,9.7,10.847334,393.5897678,1.264238966,7.7,7.7,44.1,9.7,Haiti
58,6.3,7.5,51.51,6.4,6.8,79.1,40.0261354,4392.265947,5.9,6.4,6.9,111890.0,6.8,9.112867,81.44487443,1.682462584,4.3,7.3,61.7,6.8,Honduras
59,1.8,3.9,65.01,5.4,5.3,52.0,251.868,25653.80703,4.8,3.3,5.2,90530.0,3.2,9.817958,108.4497736,-0.255022953,6.5,2.7,78.0,6.1,Hungary
60,1.6,4.1,78.57,3.3,1.8,22.5,15.13374348,45276.44855,1.3,2.8,1.0,100250.0,1.2,0.334252,3.334184539,1.033589277,2.0,1.0,79.3,1.3,Iceland
61,7.9,5.4,30.57,5.1,7.3,77.9,8067.71,6092.648037,8.3,6.1,6.0,2973190.0,7.4,1324.171354,445.3705797,1.148214693,5.3,7.4,58.1,4.7,India
62,6.6,5.2,46.92,4.5,7.0,72.9,2810.79,10764.54854,7.1,6.9,7.2,1811570.0,5.9,261.115456,144.1376574,1.137493711,5.4,6.2,62.9,5.1,Indonesia
63,4.9,6.5,58.16,6.4,9.6,85.8,1484.95,18497.72766,9.3,6.5,9.5,1628760.0,4.5,80.277428,49.28745058,1.1487886,6.5,7.5,64.7,9.0,Iran
64,8.6,9.7,43.2,6.6,9.6,105.4,598.475,16086.92539,9.6,7.7,8.7,434320.0,8.2,37.202572,85.65705471,2.965163696,9.9,10.0,56.6,9.5,Iraq
65,1.7,1.4,78.77,3.4,1.5,22.3,300.666,62991.83234,1.4,2.8,1.4,68890.0,1.4,4.773095,69.28574539,2.037334235,2.0,2.1,77.9,1.0,Ireland
66,4.3,2.5,76.96,5.4,4.9,45.2,2103.77,34715.33858,4.8,2.0,2.0,294140.0,2.7,60.60059,206.026348,-0.214276426,5.5,4.5,75.5,3.7,Italy
67,5.2,5.8,58.58,6.9,3.7,65.2,23.56838997,8179.62034,3.4,8.4,5.5,10830.0,6.4,2.881355,266.0530933,0.327499919,3.1,6.9,66.6,4.8,Jamaica
68,6.0,3.8,74.69,4.1,2.6,37.4,4857.83,38252.2832,3.7,3.2,3.0,364560.0,2.2,126.994511,348.350096,-0.115284177,4.4,1.6,80.2,1.2,Japan
